word,example
Amentiferous,Amentiferous trees are those that produce catkins.
Amentiform,Amentiform catkins are found on some trees.
Amentum,The amentum is a flexible cord used to attach the dart to the shaft.
Amenuse,Amenuse is the process of making something less noxious.
Amerce,The judge amerced the defendant for contempt of court.
Amerceable,The amerceable man was fined for speeding.
Amerced,The judge amerced the defendant 100 dollars.
Amercement,the amercement was set at ten shillings.
Amercer,Amercer will be a leading provider of cybersecurity solutions to the global market.
Amerciament,Amerciament was a punishment used in England during the Middle Ages.
Amercing,Amercing is the process of paying off a debt.
American,American is a noun and a adjective. We can say: an American man.
Americanism,The Americanism of the new president was evident in his speech.
Americanization,Americanization is the process of adopting American culture.
Americanize,The company is trying to Americanize its products for the global market.
Americanizer,The Americanizer is a person who promotes American culture in another country.
Americanizing,Americanizing a French restaurant by adding hamburgers to the menu.
Ames-ace,Ames-ace is a type of poker hand.
Amess,There was a great mess in the kitchen after the party.
Ametabola,The Ametabola are an order of wingless insects.
Ametabolian,Ametabolians are insects that do not undergo complete metamorphosis.
Ametabolic,An ametabolic organism can survive without food or water.
Ametabolous,Ametabolous insects do not undergo metamorphosis.
Amethodist,An amethodist is a person who does not follow any particular method of worship.
Amethyst,The amethyst is my favorite birthstone.
Amethystine,The amethystine crystal glistened in the sunlight.
Ametropia,Myopia is a type of ametropia.
Amharic,The man was speaking Amharic on his phone.
Amia,Amias are a type of fish.
Amiability,The amiability of the waiter made the customers feel at home.
Amiable,The amiable old man greeted everyone with a smile.
Amiableness,The amiableness of her personality endeared her to all.
Amiably,two men amiably chatting over a beer
Amianth,Asbestos is a type of amiantoid mineral.
Amianthiform,Amianthiform is a type of sedimentary rock that is composed of microscopic fibers.
Amianthoid,Amianthoid is a type of mineral that is soft and has a fibrous structure.
Amianthus,"Amianthus is a naturally occurring mineral that has been used in a variety of products, including asbestos."
Amic,Amic and I are going to the cinema.
Amicability,There was an amicable agreement between the two sides.
Amicable,The two friends parted on amicable terms.
Amicableness,Amicableness between the two rivals was restored after the truce.
Amicably,The couple divorced amicably after 20 years of marriage.
Amice,A white amice is worn by the priest during mass.
Amid,"Amid the chaos, a lone man stood calmly."
Amide,The amide group is found in proteins.
Amidin,Amidin is an organic compound that consists of a nitrogen atom bonded to two carbon atoms.
Amido,Amido is a polymer that is used in a variety of applications.
Amidogen,Amidogen is used to make dyes.
Amidships,The boat was moored amidships on the pier.
Amidst,"Amidst the chaos, a single rose stood tall."
Amine,The amine group is present in both proteins and DNA.
Amioid,The amyloid deposits in the brain of patients with Alzheimer's disease.
Amioidei,Amioidei is a class of extinct marine arthropods.
Amir,Amir is a young boy who loves to play video games.
Amiss,Something is amiss in the relationship.
Amissibility,The amissibility of the evidence was debated at length.
Amissible,The amissible evidence was ruled inadmissible by the judge.
Amission,The astronauts' mission was to explore the moon.
Amit,Amit gave a presentation to his colleagues.
Amities,We can build new amities while traveling.
Amity,The group of friends enjoyed their amity in the park.
Amma,Amma is a Tamil word for mother.
Ammeter,An ammeter measures the amount of current flowing through a circuit.
Ammiral,Ammiral is a title given to a high-ranking naval officer.
Ammite,Ammonites were marine cephalopods that lived during the Mesozoic era.
Ammodyte,"Ammodytes are small, burrowing marine animals."
Ammonia,Ammonia is a colorless gas with a pungent odor.
Ammoniac,Ammoniac is a colorless gas with a pungent smell.
Ammoniacal,Ammoniacal fertilizers are used to increase the nitrogen content of soil.
Ammoniated,Ammoniated hydrogen peroxide is used to bleach hair.
Ammonic,Ammonic salts are used as fertilizers.
Ammonite,Ammonite fossils are found in sedimentary rocks.
Ammonitiferous,The rocks are rich in ammonitiferous fossils.
Ammonitoidea,Ammonitoidea are extinct marine animals that were related to modern squids.
Ammonium,Ammonium is a compound containing nitrogen and hydrogen.
Ammunition,Soldiers were loading ammunition into their guns.
Ammunitioned,The soldiers were ammunitioned for battle.
Ammunitioning,Ships are ammunitioning at the dock before they head out to sea.
Amnesia,The amnesiac could not remember his name.
Amnesic,The amnesic patient had difficulty remembering her childhood.
Amnestic,The amnestic caused the patient to forget his name.
Amnestied,The prisoners were amnestied after serving 10 years in prison.
Amnesty,Amnesty International called for the release of all political prisoners.
Amnestying,The government is amnestying all political prisoners.
Amnicolist,Amnicolists are marine invertebrates that live in mud.
Amnigenous,Amnigenous vertebrates developed amniotic eggs.
Amnion,Amnion surrounds the embryo in a developing fetus.
Amnios,Amnios is the fluid-filled sac that surrounds the fetus.
Amniota,Amniota are the tetrapod vertebrates that have amniotic eggs.
Amniotic,The amniotic sac contains the embryo.
Amoeba,Amoeba moves around by extending pseudopods.
Amoebae,Amoebae are single-celled protists.
Amoebaeum,Amoebaeum is a genus of single-celled organisms.
Amoebas,Amoebas are single-celled organisms.
Amoebea,Amoebae are single-celled organisms that move around by extending pseudopods.
Amoebean,Amoeboid movement is a type of movement that occurs in amoeba and other protists.
Amoebian,Amoebian cells are found in the human gut.
Amoebiform,Amoebiform cells are found in the slime mold Physarum.
Amoeboid,Amoeboid cells move by extending pseudopods.
Amoebous,An amoeboid organism moves through a fluid.
Amolition,The demolition of the old building began at dawn.
Amomum,Amomum is a genus of flowering plants.
Amoneste,The priest amoneste the man for his sins.
Among,"Among the many fruits in the bowl, the apples were the most ripe."
Amongst,Amongst the many things she enjoyed about her new job was the friendly atmosphere.
Amontillado,He had been drinking Amontillado all night.
Amophorae,Amophorae is a genus of moths in the family Geometridae.
Amoret,"Amoret is a character in Edmund Spenser's epic poem, The Faerie Queene."
Amorette,Two amorettes are playing with a ball.
Amorist,Amorist writes poems about love.
A-mornings,A-mornings are the best time to start a new day.
Amorosa,Amorosa means loving or affectionate.
Amorosity,The amorosity between the two lovers was undeniable.
Amoroso,"The couple danced a romantic, amoroso waltz."
Amorous,The amorous couple stared into each other's eyes.
Amorously,The couple danced amorously at the wedding reception.
Amorousness,A young couple's amorous embrace in the park.
Amorpha,Amorpha canescens is a species of flowering plant in the legume family.
Amorphas,Amorphas bloom in the spring.
Amorphism,The amorphism of the crystals made it difficult to identify them.
Amorphous,The amorphous blob of glass was a strange sight.
Amorphozoa,Amorphozoa are single-celled eukaryotes that lack a defined cell shape.
Amorphozoic,The Amorphozoic is an era of geologic time that is before the Phanerozoic.
Amorphy,The amorphous cloud of gas took on a beautiful shape.
Amort,The company amortized its goodwill over a period of 10 years.
Amortisable,The cost of a new machine is amortisable over 5 years.
Amortisation,The company made an amortisation charge of $10 million.
Amortise,The company amortised the cost of the new equipment over 5 years.
Amortisement,The amortisation of the loan will be spread over five years.
Amortizable,An amortizable asset is one that can be written off over time.
Amortization,The monthly amortization payment is $200.
Amortize,The loan was amortized over a five-year period.
Amortizement,The company amortized its intangible assets over 10 years.
Amorwe,The Amorwe are an ancient race of elves.
Amotion,The amotion of the judge was met with outrage by the crowd.
Amotus,The amotus of the group was delayed by the storm.
Amount,The amount of money he owed was too large.
Amounted,"The damage amounted to over $100,000."
Amounting,"The total amount of money spent on the project amounted to $100,000."
Amour,L'amour est un sentiment fort.
